serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-M260001","CM","CMIII-600Y/72.5C-14253W","CM2III-600Y/72.5B-12231W","SHZVIII-600Y/72.5B-12231W | SHZVIII-1000Y/72.5B-12231W | SHZVGIII-1300Y/72.5B-12231W","","533.5","72.5","1976.7","11","Y","III","eligible"
"E-M260002-003","CM","","","","no sold_type","","","","","","","skip"
"E-M260004-005","CM","","","","no sold_type","","","","","","","skip"
"E-M260006-007","CM","","","","no sold_type","","","","","","","skip"
"E-M260008","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","155.5","72.5","1368","8","Y","III","eligible"
"E-M260009","CM","CMIII-500Y/126C-10193G","","","no transformer I","","126","","","Y","III","skip"
"E-M260010","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","3000","","Y","III","skip"
"E-M260011-013","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","97.2","72.5","1368","8","Y","III","eligible"
"E-M260014-015","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","97.2","72.5","1368","8","Y","III","eligible"
"E-M260016","CM","3xCMI-1200/170C-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","747.4","170","1824","6","Y","I","eligible"
"E-M260017","CM","","","","no sold_type","","","","","","","skip"
"E-M260018-019","CM","","","","no sold_type","","","","","","","skip"
"E-M260020","CM","","","","no sold_type","","","","","","","skip"
"E-M260021","CM","CMIII-500Y/72.5B-10080","CV2III-350Y/72.5-10080","CV2III-600Y/72.5-10080 | CVIII-350Y/72.5-10080 | SVIII-500Y/72.5-10080","","314.9","72.5","927","","Y","III","eligible"
"E-M260022","CM","","","","no sold_type","","","","","","","skip"
"E-M260023-024","CM","3xCMI-800/170C-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","634.5","170","1397","6","Y","I","eligible"
"E-M260025","CM","CMI-1200/72.5C-18351W","","","no transformer I","","72.5","","","","I","skip"
"E-M260026","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260027-028","CM","3xCMI-800/170C-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","634.5","170","1397","6","Y","I","eligible"
"E-M260029","CM","","","","no sold_type","","","","","","","skip"
"E-M260030","CM","3xCMI-800/170B-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","678","170","1400","6","Y","I","eligible"
"E-M260031","CM","CMIII-500Y/72.5B-500","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","250","72.5","1123","","Y","III","eligible"
"E-M260032-033","CM","3xCMI-1200Y/170C-14131W","CM2I-1200/170D-14131W","CM2I-1500/170D-14131W | SHZVI-1200/170D-14131W | SHZVI-1500/170D-14131W","","1068","170","1328","6","Y","I","eligible"
"E-M260034","CM","CMIII-500Y/126B-10193W","CV2III-350Y/126-10193W","CV2III-600Y/126-10193W | CM2III-500Y/126C-10193W | CM2III-600Y/126C-10193W","","244.9","126","1368","8","Y","III","eligible"
"E-M260035","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","125","72.5","1368","8","Y","III","eligible"
"E-M260036","CM","CMIII-500Y/72.5B-10191W","CV2III-600Y/72.5-10191W","SVIII-500Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","424.3","72.5","1181","9","Y","III","eligible"
"E-M260037","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","105.7","72.5","1328","12","Y","III","eligible"
"E-M260038","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","104.59","72.5","1328","12","Y","III","eligible"
"E-M260039","CM","3xCMI-800/170C-14131W","CM2I-800/170D-14131W","CM2I-1200/170D-14131W | SHZVI-1000/170D-14131W | SHZVI-1200/170D-14131W","","634.5","170","1397","6","Y","I","eligible"
"E-M260040-041","CM","CMIII-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","97.2","72.5","1368.3","8","Y","III","eligible"
"E-M260042","CM","","","","no sold_type","","","1368","","","","skip"
"E-M260044","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","330.3","72.5","1328","12","Y","III","eligible"
"E-M260045","CM","","","","no sold_type","668","","2656","6","","","skip"
"E-M260046","CM","","","","no sold_type","","","","","","","skip"
"E-M260047","CM","","","","no sold_type","","","","","","","skip"
"E-M260048-049","CM","CMIII-500Y/72.5B-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","106","72.5","1328","12","Y","III","eligible"
"E-M260050-052","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1298","","Y","III","skip"
"E-M260053-072","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1422","","Y","III","skip"
"E-M260073-075","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1422","","Y","III","skip"
"E-M260076-081","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1576","","Y","III","skip"
"E-M260082-086","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","1576","","Y","III","skip"
"E-M260087-088","CM","","","","no sold_type","","","","","","","skip"
"E-M260089-090","CM","","","","no sold_type","","","","","","","skip"
"E-M260091","CM","CMIII-500Y/72.5C-16150","","","no transformer I","","72.5","","","Y","III","skip"
"E-M260092,E-M260094","CM","CMI-500/170C-10193W","CM2I-500/170D-10193W","CM2I-600/170D-10193W | SHZVI-400/170D-10193W | SHZVI-600/170D-10193W","","316","170","1048","8","Y","I","eligible"
"E-M260093","CM","CMIII-600Y/72.5C-14271G","CVIII-350Y/72.5-14271G","CM2III-500Y/72.5B-14271G | CM2III-600Y/72.5B-14271G | SHZVIII-400Y/72.5B-14271G","","68.7","72.5","0","13","Y","III","eligible"
